type	dir	
type	file	
type	symlink_file	
type	executable	
type	socket	󰆧
type	pipe	󰈲
type	block	󰜫
type	char	󰟶
name	.config	
name	.exercism	
name	.git	
name	.github	
name	.npm	
name	.opam	
name	.ssh	󰢬
name	.trash	
name	build	󱧼
name	config	
name	contacts	󰉌
name	cron.d	
name	cron.daily	
name	cron.hourly	
name	cron.minutely	
name	cron.monthly	
name	cron.weekly	
name	desktop	
name	documents	󰲂
name	downloads	󰉍
name	etc	
name	favorites	󰚝
name	hidden	󱞞
name	home	󱂵
name	include	
name	mail	󰇰
name	movies	󰿎
name	music	󱍙
name	node_modules	
name	npm_cache	
name	pacman.d	
name	pam.d	󰢬
name	pictures	󰉏
name	src	󰣞
name	ssh	󰢬
name	sudoers.d	󰢬
name	videos	
name	xbps.d	
name	xorg.conf.d	
name	cabal	
name	.aliases	󱆃
name	.atom	
name	.bashrc	󱆃
name	.bash_aliases	󱆃
name	.bash_history	󱆃
name	.bash_logout	󱆃
name	.bash_profile	󱆃
name	.cfusertextencoding	
name	.clang-format	󱁻
name	.clang-tidy	󱁻
name	.codespellrc	󰓆
name	.condarc	
name	.cshrc	󱆃
name	.ds_store	
name	.editorconfig	
name	.emacs	
name	.envrc	
name	.eslintignore	
name	.eslintrc.cjs	
name	.eslintrc.js	
name	.eslintrc.json	
name	.eslintrc.yaml	
name	.eslintrc.yml	
name	.gcloudignore	󱇶
name	.fennelrc	
name	.gitattributes	󰊢
name	.git-blame-ignore-revs	󰊢
name	.gitconfig	󰊢
name	.gitignore	󰊢
name	.gitignore_global	󰊢
name	.gitlab-ci.yml	
name	.gitmodules	󰊢
name	.gtkrc-2.0	
name	.gvimrc	
name	.htaccess	󱁻
name	.htpasswd	󱁻
name	.idea	
name	.ideavimrc	
name	.inputrc	󱁻
name	.kshrc	󱆃
name	.login	󱆃
name	.logout	󱆃
name	.luacheckrc	󱁻
name	.luaurc	󱁻
name	.nanorc	
name	.nuxtrc	󱄆
name	.ocamlinit	
name	.mailmap	󰊢
name	.node_repl_history	
name	.npmignore	
name	.npmrc	
name	.pre-commit-config.yaml	󰛢
name	.prettierignore	
name	.prettierrc	
name	.prettierrc.json	
name	.prettierrc.json5	
name	.prettierrc.toml	
name	.prettierrc.yaml	
name	.prettierrc.yml	
name	.parentlock	
name	.profile	󱆃
name	.pylintrc	󱁻
name	.python_history	
name	.rustfmt.toml	
name	.rvm	
name	.rvmrc	
name	.srcinfo	
name	.stowrc	
name	.tcshrc	󱆃
name	.viminfo	
name	.vimrc	
name	.xauthority	
name	.xinitrc	
name	.xresources	
name	.xsession	
name	.yarnrc	
name	.zlogin	󱆃
name	.zlogout	󱆃
name	.zprofile	󱆃
name	.zshenv	󱆃
name	.zshrc	󱆃
name	.zsh_history	󱆃
name	.zsh_sessions	󱆃
name	._ds_store	
name	_gvimrc	
name	_vimrc	
name	a.out	
name	authorized_keys	󰣀
name	authors	
name	authors.txt	
name	bashrc	󱆃
name	brewfile	󱄖
name	brewfile.lock.json	󱄖
name	bspwmrc	
name	build.gradle.kts	
name	build.zig.zon	
name	bun.lockb	
name	cantorrc	
name	cargo.lock	
name	cargo.toml	
name	cmakelists.txt	
name	changelog	
name	changelog.md	
name	changes	
name	changes.md	
name	code_of_conduct	
name	code_of_conduct.md	
name	composer.json	
name	composer.lock	
name	config	󱁻
name	config.ru	
name	config.status	󱁻
name	configure	
name	configure.ac	󱁻
name	configure.in	󱁻
name	constraints.txt	
name	copying	
name	copyright	
name	crontab	󱁻
name	crypttab	󱁻
name	csh.cshrc	󱆃
name	csh.login	󱆃
name	csh.logout	󱆃
name	docker-compose.yml	
name	dockerfile	
name	compose.yaml	
name	compose.yml	
name	docker-compose.yaml	
name	dropbox	
name	dune	
name	dune-project	
name	earthfile	
name	commit_editmsg	
name	environment	󱁻
name	favicon.ico	
name	flake.lock	
name	fennelrc	
name	fonts.conf	
name	fp-info-cache	
name	fp-lib-table	
name	freecad.conf	
name	gemfile	
name	gemfile.lock	
name	gnumakefile	
name	go.mod	
name	go.sum	
name	go.work	
name	gradle	
name	gradle.properties	
name	gradlew	
name	gradlew.bat	
name	group	
name	gruntfile.coffee	
name	gruntfile.js	
name	gruntfile.ls	
name	gshadow	
name	gtkrc	
name	gulpfile.coffee	
name	gulpfile.js	
name	gulpfile.ls	
name	heroku.yml	
name	hostname	󱁻
name	hypridle.conf	
name	hyprland.conf	
name	hyprlock.conf	
name	hyprpaper.conf	
name	i3blocks.conf	
name	i3status.conf	
name	id_dsa	󰌆
name	id_ecdsa	󰌆
name	id_ecdsa_sk	󰌆
name	id_ed25519	󰌆
name	id_ed25519_sk	󰌆
name	id_rsa	󰌆
name	index.theme	
name	inputrc	󱁻
name	jenkinsfile	
name	jsconfig.json	
name	justfile	
name	kalgebrarc	
name	kdeglobals	
name	kdenlive-layoutsrc	
name	kdenliverc	
name	known_hosts	󰣀
name	kritadisplayrc	
name	kritarc	
name	licence	
name	licence.md	
name	licence.txt	
name	license	
name	license-apache	
name	license-mit	
name	license.md	
name	license.txt	
name	localized	
name	localtime	
name	lock	
name	log	
name	lxde-rc.xml	
name	lxqt.conf	
name	makefile	
name	makefile.ac	
name	makefile.am	
name	makefile.in	
name	manifest	
name	manifest.in	
name	mix.lock	
name	mpv.conf	
name	news	
name	news.md	
name	npm-shrinkwrap.json	
name	npmrc	
name	package-lock.json	
name	package.json	
name	passwd	
name	php.ini	
name	pkgbuild	
name	platformio.ini	
name	pom.xml	
name	procfile	
name	profile	󱆃
name	prusaslicer.ini	
name	prusaslicergcodeviewer.ini	
name	pyvenv.cfg	
name	pyproject.toml	
name	qt5ct.conf	
name	qt6ct.conf	
name	qtproject.conf	
name	rakefile	
name	readme	󰂺
name	readme.md	󰂺
name	release.toml	
name	renovate.json	󰉼
name	requirements.txt	
name	robots.txt	󰚩
name	rubydoc	
name	rvmrc	
name	security	󰒃
name	security.md	󰒃
name	settings.gradle.kts	
name	shadow	
name	shells	󱁻
name	sudoers	
name	sxhkdrc	
name	sym-lib-table	
name	timezone	
name	tmux.conf	
name	tmux.conf.local	
name	todo	
name	todo.md	
name	tsconfig.json	
name	vagrantfile	⍱
name	vlcrc	󰕼
name	webpack.config.js	󰜫
name	xorg.conf	
name	xsettingsd.conf	
name	weston.ini	
name	xmobarrc	
name	xmobarrc.hs	
name	xmonad.hs	
name	yarn.lock	
ext	123dx	󰻫
ext	3dm	󰻫
ext	3g2	
ext	3gp	
ext	3gp2	
ext	3gpp	
ext	3gpp2	
ext	3mf	󰆧
ext	7z	
ext	a	
ext	aac	
ext	acf	
ext	age	󰦝
ext	ai	
ext	aif	
ext	aifc	
ext	aiff	
ext	alac	
ext	android	
ext	ape	
ext	apk	
ext	app	
ext	applescript	
ext	apple	
ext	ar	
ext	arj	
ext	arw	
ext	asc	󰦝
