:+1:	👍
:bearded_person_tone2:	🧔🏼
:bearded_person_tone3:	🧔🏽
:bearded_person_tone4:	🧔🏾
:bearded_person_tone5:	🧔🏿
:beating_heart:	💓
:beaver:	🦫
:bed:	🛏️
:bee:	🐝
:beer:	🍺
:beer_mug:	🍺
:beers:	🍻
:beetle:	🪲
:beginner:	🔰
:belarus:	🇧🇾
:belgium:	🇧🇪
:belize:	🇧🇿
:bell:	🔔
:bell_pepper:	🫑
:bell_with_slash:	🔕
:bellhop:	🛎
:bellhop_bell:	🛎️
:benin:	🇧🇯
:bento:	🍱
:bento_box:	🍱
:bermuda:	🇧🇲
:beverage_box:	🧃
:bhutan:	🇧🇹
:bicycle:	🚲
:bicyclist:	🚴‍♂️
:bike:	🚲
:biking_man:	🚴‍♂️
:biking_woman:	🚴‍♀️
:bikini:	👙
:billed_cap:	🧢
:biohazard:	☣
:biohazard_sign:	☣️
:bird:	🐦
:birthday:	🎂
:birthday_cake:	🎂
:bison:	🦬
:biting_lip:	🫦
:black_bird:	🐦‍⬛
:black_cat:	🐈‍⬛
:black_circle:	⚫
:black_circle_for_record:	⏺️
:black_flag:	🏴
:black_heart:	🖤
:black_joker:	🃏
:black_large_square:	⬛
:black_left_pointing_double_triangle_with_vertical_bar:	⏮️
:black_medium-small_square:	◾
:black_medium_small_square:	◾
:black_medium_square:	◼️
:black_nib:	✒️
:black_right_pointing_double_triangle_with_vertical_bar:	⏭️
:black_right_pointing_triangle_with_double_vertical_bar:	⏯️
:black_small_square:	▪️
:black_square_button:	🔲
:black_square_for_stop:	⏹️
:blond-haired-man:	👱‍♂️
:blond-haired-woman:	👱‍♀️
:blond-haired_man:	👱‍♂️
:blond-haired_man_tone1:	👱🏻‍♂️
:blond-haired_man_tone2:	👱🏼‍♂️
:blond-haired_man_tone3:	👱🏽‍♂️
:blond-haired_man_tone4:	👱🏾‍♂️
:blond-haired_man_tone5:	👱🏿‍♂️
:blond-haired_woman:	👱‍♀️
:blond-haired_woman_tone1:	👱🏻‍♀️
:blond-haired_woman_tone2:	👱🏼‍♀️
:blond-haired_woman_tone3:	👱🏽‍♀️
:blond-haired_woman_tone4:	👱🏾‍♀️
:blond-haired_woman_tone5:	👱🏿‍♀️
:blond_haired_man:	👱‍♂️
:blond_haired_person:	👱
:blond_haired_person_tone1:	👱🏻
:blond_haired_person_tone2:	👱🏼
:blond_haired_person_tone3:	👱🏽
:blond_haired_person_tone4:	👱🏾
:blond_haired_person_tone5:	👱🏿
:blond_haired_woman:	👱‍♀️
:blonde_woman:	👱‍♀️
:blossom:	🌼
:blowfish:	🐡
:blue_book:	📘
:blue_car:	🚙
:blue_circle:	🔵
:blue_heart:	💙
:blue_square:	🟦
:blueberries:	🫐
:blush:	😊
:boar:	🐗
:boat:	⛵
:bolivia:	🇧🇴
:bomb:	💣
:bone:	🦴
:book:	📖
:bookmark:	🔖
:bookmark_tabs:	📑
:books:	📚
:boom:	💥
